"V1" "V2"
"STP1" "YLR031W"
"STP1" "YLR038C"
"STP1" "YLR041W"
"STP1" "YLR042C"
"STP1" "YLR047C"
"STP1" "YLR049C"
"STP1" "YLR053C"
"STP1" "YLR054C"
"STP1" "YLR079W"
"STP1" "YLR085C"
"STP1" "YLR089C"
"STP1" "YLR092W"
"STP1" "YLR094C"
"STP1" "YLR099C"
"STP1" "YLR119W"
"STP1" "YLR120C"
"STP1" "YLR121C"
"STP1" "YLR128W"
"STP1" "YLR130C"
"STP1" "YLR136C"
"STP1" "YLR142W"
"STP1" "YLR149C"
"STP1" "YLR167W"
"STP1" "YLR183C"
"STP1" "YLR194C"
"STP1" "YLR199C"
"STP1" "YLR205C"
"STP1" "YLR216C"
"STP1" "YLR231C"
"STP1" "YLR233C"
"STP1" "YLR237W"
"STP1" "YLR244C"
"STP1" "YLR248W"
"STP1" "YLR251W"
"STP1" "YLR252W"
"STP1" "YLR257W"
"STP1" "YLR267W"
"STP1" "YLR290C"
"STP1" "YLR294C"
"STP1" "YLR327C"
"STP1" "YLR346C"
"STP1" "YLR348C"
"STP1" "YLR350W"
"STP1" "YLR353W"
"STP1" "YLR364W"
"STP1" "YLR382C"
"STP1" "YLR392C"
"STP1" "YLR398C"
"STP1" "YLR413W"
"STP1" "YLR414C"
"STP1" "YLR415C"
"STP1" "YLR416C"
"STP1" "YLR423C"
"STP1" "YLR428C"
"STP1" "YLR432W"
"STP1" "YLR438W"
"STP1" "YLR438C-A"
"STP1" "YLR454W"
"STP1" "YLR464W"
"STP1" "YLR466W"
"STP1" "YLR467W"
"STP1" "YML132W"
"STP1" "YML130C"
"STP1" "YML123C"
"STP1" "YML122C"
"STP1" "YML116W"
"STP1" "YML114C"
"STP1" "YML109W"
"STP1" "YML107C"
"STP1" "YML101C-A"
"STP1" "YML097C"
"STP1" "YML094C-A"
"STP1" "YML094W"
"STP1" "YML091C"
"STP1" "YML082W"
"STP1" "YML073C"
"STP1" "YML058W"
"STP1" "YML056C"
"STP1" "YML055W"
"STP1" "YML054C"
"STP1" "YML037C"
"STP1" "YML031W"
"STP1" "YML027W"
"STP1" "YML018C"
"STP1" "YML010W"
"STP1" "YML007W"
"STP1" "YML002W"
"STP1" "YMR007W"
"STP1" "YMR008C"
"STP1" "YMR017W"
"STP1" "YMR022W"
"STP1" "YMR023C"
"STP1" "YMR031C"
"STP1" "YMR034C"
"STP1" "YMR036C"
"STP1" "YMR040W"
"STP1" "YMR042W"
"STP1" "YMR043W"
"STP1" "YMR055C"
"STP1" "YMR062C"
"STP1" "YMR070W"
"STP1" "YMR072W"
"STP1" "YMR085W"
"STP1" "YMR101C"
"STP1" "YMR102C"
"STP1" "YMR107W"
"STP1" "YMR110C"
"STP1" "YMR112C"
"STP1" "YMR113W"
"STP1" "YMR135C"
"STP1" "YMR136W"
"STP1" "YMR144W"
"STP1" "YMR145C"
"STP1" "YMR171C"
"STP1" "YMR173W"
"STP1" "YMR174C"
"STP1" "YMR180C"
"STP1" "YMR184W"
"STP1" "YMR191W"
"STP1" "YMR194W"
"STP1" "YMR194C-A"
"STP1" "YMR195W"
"STP1" "YMR200W"
"STP1" "YMR210W"
"STP1" "YMR215W"
"STP1" "YMR226C"
"STP1" "YMR250W"
"STP1" "YMR256C"
"STP1" "YMR262W"
"STP1" "YMR264W"
"STP1" "YMR272C"
"STP1" "YMR278W"
"STP1" "YMR279C"
"STP1" "YMR286W"
"STP1" "YMR293C"
"STP1" "YMR294W"
"STP1" "YMR294W-A"
"STP1" "YMR295C"
"STP1" "YMR298W"
"STP1" "YMR304C-A"
"STP1" "YMR305C"
"STP1" "YMR307W"
"STP1" "YMR314W"
"STP1" "YMR316W"
"STP1" "YMR316C-A"
"STP1" "YMR320W"
"STP1" "YMR321C"
"STP1" "YNL339C"
"STP1" "YNL336W"
"STP1" "YNL322C"
"STP1" "YNL312W"
"STP1" "YNL300W"
"STP1" "YNL291C"
"STP1" "YNL289W"
"STP1" "YNL277W"
"STP1" "YNL276C"
"STP1" "YNL270C"
"STP1" "YNL266W"
"STP1" "YNL264C"
"STP1" "YNL241C"
"STP1" "YNL240C"
"STP1" "YNL217W"
"STP1" "YNL194C"
"STP1" "YNL160W"
"STP1" "YNL157W"
"STP1" "YNL152W"
"STP1" "YNL146W"
"STP1" "YNL140C"
"STP1" "YNL117W"
"STP1" "YNL112W"
"STP1" "YNL100W"
"STP1" "YNL096C"
"STP1" "YNL090W"
"STP1" "YNL089C"
"STP1" "YNL088W"
"STP1" "YNL065W"
"STP1" "YNL058C"
"STP1" "YNL057W"
"STP1" "YNL052W"
"STP1" "YNL044W"
"STP1" "YNL031C"
"STP1" "YNL030W"
"STP1" "YNL020C"
"STP1" "YNL015W"
"STP1" "YNL007C"
"STP1" "YNR001C"
"STP1" "YNR002C"
"STP1" "YNR010W"
"STP1" "YNR018W"
"STP1" "YNR028W"
"STP1" "YNR034W"
"STP1" "YNR035C"
"STP1" "YNR042W"
"STP1" "YNR044W"
"STP1" "YNR046W"
"STP1" "YNR056C"
"STP1" "YNR057C"
"STP1" "YNR058W"
"STP1" "YNR066C"
"STP1" "YNR071C"
"STP1" "YOL158C"
"STP1" "YOL155C"
"STP1" "YOL149W"
"STP1" "YOL141W"
"STP1" "YOL119C"
"STP1" "YOL118C"
"STP1" "YOL117W"
"STP1" "YOL115W"
"STP1" "YOL111C"
"STP1" "YOL105C"
"STP1" "YOL098C"
"STP1" "YOL083W"
"STP1" "YOL077W-A"
"STP1" "YOL073C"
"STP1" "YOL064C"
"STP1" "YOL058W"
"STP1" "YOL055C"
"STP1" "YOL047C"
"STP1" "YOL032W"
"STP1" "YOL031C"
"STP1" "YOL028C"
"STP1" "YOL020W"
"STP1" "YOL016C"
"STP1" "YOL015W"
"STP1" "YOL014W"
"STP1" "YOL005C"
"STP1" "YOR009W"
"STP1" "YOR010C"
"STP1" "YOR034C"
"STP1" "YOR043W"
"STP1" "YOR044W"
"STP1" "YOR049C"
"STP1" "YOR065W"
"STP1" "YOR066W"
"STP1" "YOR074C"
"STP1" "YOR100C"
"STP1" "YOR104W"
"STP1" "YOR130C"
"STP1" "YOR132W"
"STP1" "YOR152C"
"STP1" "YOR160W"
"STP1" "YOR185C"
"STP1" "YOR192C"
"STP1" "YOR194C"
"STP1" "YOR197W"
"STP1" "YOR198C"
"STP1" "YOR220W"
"STP1" "YOR226C"
"STP1" "YOR237W"
"STP1" "YOR247W"
"STP1" "YOR248W"
"STP1" "YOR273C"
"STP1" "YOR278W"
"STP1" "YOR288C"
"STP1" "YOR289W"
"STP1" "YOR298C-A"
"STP1" "YOR302W"
"STP1" "YOR303W"
"STP1" "YOR306C"
"STP1" "YOR313C"
"STP1" "YOR316C"
"STP1" "YOR317W"
"STP1" "YOR331C"
"STP1" "YOR332W"
"STP1" "YOR343C"
"STP1" "YOR359W"
"STP1" "YOR367W"
"STP1" "YOR375C"
"STP1" "YOR381W"
"STP1" "YOR382W"
"STP1" "YOR383C"
"STP1" "YOR385W"
"STP1" "YPL273W"
"STP1" "YPL265W"
"STP1" "YPL264C"
"STP1" "YPL250C"
"STP1" "YPL249C-A"
"STP1" "YPL249C"
"STP1" "YPL246C"
"STP1" "YPL245W"
"STP1" "YPL232W"
"STP1" "YPL224C"
"STP1" "YPL196W"
"STP1" "YPL163C"
"STP1" "YPL159C"
"STP1" "YPL157W"
"STP1" "YPL156C"
"STP1" "YPL129W"
"STP1" "YPL127C"
"STP1" "YPL124W"
"STP1" "YPL120W"
"STP1" "YPL110C"
"STP1" "YPL095C"
"STP1" "YPL092W"
"STP1" "YPL091W"
"STP1" "YPL090C"
"STP1" "YPL088W"
"STP1" "YPL068C"
"STP1" "YPL065W"
"STP1" "YPL057C"
"STP1" "YPL054W"
"STP1" "YPL052W"
